,Country,Year,% Plastic in waste stream4,Plastic pollution by year,Value_x,Value_y,plastic pollution per millions of people
129,Finland,2013,43.79999999999999,198.12272999999996,1809.3400000000001,5.438975,36.426482931066964
130,Finland,2014,43.79999999999999,194.20372499999996,1773.55,5.461507,35.55863335888793
131,Finland,2015,43.79999999999999,178.150149,1626.942,5.479528,32.511951576851146
132,Finland,2016,43.79999999999999,175.67796749999997,1604.365,5.495297,31.968784853666683
133,Finland,2017,43.79999999999999,183.02486999999994,1671.4599999999998,5.508209,33.227655305018374
134,Finland,2018,43.79999999999999,192.31923,1756.3400000000001,5.515525,34.86870787459036
135,Finland,2019,32.849999999999994,3.3254054999999996,30.369,5.521605,0.6022534208803417
136,France,2000,29.849999999999994,2487.1019999999994,24996.0,60.72478,40.9569536521993
137,France,2001,29.849999999999994,2482.2264999999998,24947.0,61.163237,40.583635231732416
138,France,2002,29.849999999999994,2451.2819999999992,24636.0,61.60455,39.790599882638524
139,France,2003,29.849999999999994,2316.8574999999996,23285.0,62.037544,37.34605451176468
140,France,2004,29.849999999999994,2356.0604999999996,23679.0,62.4908,37.702517810621714
141,France,2005,39.79999999999999,2403.0244999999995,24151.0,62.958328,38.1684929752264
142,France,2006,39.79999999999999,2392.3779999999997,24044.0,63.393406,37.73859382157191
143,France,2007,39.79999999999999,2381.6319999999996,23936.0,63.781275,37.340614467177076
144,France,2008,39.79999999999999,2319.544,23312.0,64.133174,36.16761584262148
145,France,2009,39.79999999999999,2257.754499999999,22691.0,64.458715,35.02636532546451
146,France,2010,39.79999999999999,2244.7199999999993,22560.0,64.773169,34.65508998023548
147,France,2011,39.79999999999999,2231.6854999999996,22429.0,65.087317,34.2875632744241
148,France,2012,39.79999999999999,2176.3634999999995,21873.0,65.402998,33.27620394404549
149,France,2013,39.79999999999999,2120.8424999999993,21315.0,65.735961,32.263048531381465
150,France,2014,39.79999999999999,2084.923,20954.0,66.276671,31.457871503534026
151,France,2015,39.79999999999999,2048.9039999999995,20592.0,66.512558,30.804769228692116
152,France,2016,39.79999999999999,2027.6739834999996,20378.633,66.688563,30.405123341764007
153,France,2017,39.79999999999999,2006.3410839999995,20164.232,66.883314,29.997632653190593
154,France,2018,39.79999999999999,1970.4606874999995,19803.625,67.068133,29.37998419458015
155,France,2019,29.849999999999994,724.3002999999998,7279.4,67.215667,10.775766013004079
156,Germany,2000,91.80000000000003,8353.456668000003,36398.504,82.211501,101.60934378269049
157,Germany,2001,91.80000000000003,8331.195168000002,36301.504,82.349926,101.16821681175527
158,Germany,2002,91.80000000000003,8039.844000000003,35032.0,82.488493,97.46624901972693
159,Germany,2003,91.80000000000003,7411.702500000002,32295.0,82.534175,89.80161854165262
160,Germany,2004,91.80000000000003,7772.247000000002,33866.0,82.516268,94.19048132424024
161,Germany,2005,91.80000000000003,7562.713500000002,32953.0,82.469421,91.70324476996149
162,Germany,2006,91.80000000000003,7644.415500000003,33309.0,82.376447,92.79855806356886
163,Germany,2007,91.80000000000003,7174.399500000001,31261.0,82.266373,87.20938140788097
164,Germany,2008,91.80000000000003,6991.947000000002,30466.0,82.110097,85.15331555387155
165,Germany,2009,91.80000000000003,7046.7975000000015,30705.0,81.902308,86.03905887487323
166,Germany,2010,91.80000000000003,7112.434500000002,30991.0,81.776936,86.97359974455391
167,Germany,2011,91.80000000000003,7056.436500000002,30747.0,80.274981,87.90330950062763
168,Germany,2012,91.80000000000003,6108.372000000001,26616.0,80.425826,75.95037942165494
169,Germany,2013,91.80000000000003,5318.892000000002,23176.0,80.645605,65.95389792165365
170,Germany,2014,91.80000000000003,5123.128500000002,22323.0,80.982495,63.26217165820838
171,Germany,2015,91.80000000000003,4840.155000000002,21090.0,81.686608,59.252735772796456
172,Germany,2016,91.80000000000003,4398.597000000001,19166.0,82.348669,53.414305943426974
173,Germany,2017,91.80000000000003,3968.2845000000016,17291.0,82.657,48.00905549439251
174,Germany,2018,91.80000000000003,3861.744403500001,16826.773,82.905788,46.57991313585972
175,Germany,2019,68.85000000000002,205.86379500000007,897.01,83.092958,2.4775119330810207
176,Greece,2000,29.849999999999994,403.5719999999999,4056.0,10.805806,37.34769993094452
177,Greece,2001,29.849999999999994,413.62149999999986,4157.0,10.862129,38.07922921924421
178,Greece,2002,29.849999999999994,421.1834999999999,4233.0,10.902022,38.63352137796089
179,Greece,2003,29.849999999999994,430.66087499999986,4328.25,10.928072,39.40867840182604
